wdpaid|name|the_geom
100|La Campana|0101000020E610000030DCC70C9DC451C0887817C71F7B40C0
101|Bosque Fray Jorge|0101000020E6100000966295439EEA51C0D0AEE07CBFAD3EC0
114|Laguna Parrillar|0101000020E61000008869795C69D651C0CC954349B0AF4AC0
115|Nalcas|0101000020E610000018A0C60487E351C00CCABF1F492443C0
119|Coyhaique|0101000020E6100000DAD371FAA90052C01C28761B71C346C0
104|Nahuelbuta|0101000020E6100000D1852DA5523F52C0783F0EE0D3E442C0
105|Rapa Nui|0101000020E61000006CCE9547D75A5BC00081448FAF2A3BC0
125|Cienaga Grande de Santa Marta|0101000020E610000019B9F37E72A052C090C6ADA527792540
116|Magallanes|0101000020E61000003A24F032CFC851C0F4A484A7CA964AC0
117|China Muerta|0101000020E61000000651916030E351C0B094929C2E6643C0
118|Lago Penuelas|0101000020E6100000334EB6A641E051C0A0620F5F399440C0
135|Amacayacu|0101000020E6100000E03A45C1908551C0C0076CE0A4690BC0
126|Los Flamencos|0101000020E61000009A5CCC081E4752C030D5D134D2C92640
127|Iguaque|0101000020E6100000D0983D18155F52C0201D3FA561AD1640
129|El Tuparro|0101000020E6100000DD5AC745D11F51C0A03C39F9E31B1540
130|Sierra de la Macarena|0101000020E6100000D2C2BB300D7E52C080A2C78589480640
131|Paramillo|0101000020E610000076360455D70E53C080062C4CEE291E40
132|Sierra Nevada de Santa Marta|0101000020E61000002838265D656452C060E1C35701E42540
133|El Cocuy|0101000020E6100000FAEDC5D0E70752C0004BDF27EB0F1A40
134|Cordillera de los Picachos|0101000020E61000007F23B0FB3FAA52C04035ED3261B10640
144|Tama|0101000020E6100000A2F7C497120E52C000148F0531F31C40
145|Pisba|0101000020E6100000A339AC81BC2452C080A8BFE299771740
146|Munchique|0101000020E61000000DB331A2C24153C0C0A244DE81560540
147|Los Nevados|0101000020E61000001CE2A35E1ADA52C080248E3FC8231340
148|Las Orquideas|0101000020E6100000FE9FF6AA5C1153C0E036E056EE511A40
156|Hitoy Cerere|0101000020E61000004844E9D1CAC454C020539A281D4A2340
168|Rincón de la Vieja|0101000020E6100000A35A5EA4B55455C060C745F7A4A12540
242|Defensores del Chaco|0101000020E6100000C9CFD79B05184EC030419CF9A84134C0
149|Macuira|0101000020E6100000E32D3A149CD551C02052C970A44C2840
150|Isla de Salamanca|0101000020E6100000EDA6AA2B9D9A52C0A07365A134022640
152|Tayrona|0101000020E61000008E3ED7DBF68252C00091ACE717A12640
153|Cueva de los Guacharos|0101000020E610000062B710AAD70753C0001377183A6EF93F
405|Daintree|0101000020E61000000E2B89AC8C266240D8C807939B4930C0
157|Carara|0101000020E6100000CA571880972455C0F03F23131B952340
163|Chirripó|0101000020E610000050CF0ADB78DF54C0A09DF9A7E4F12240
164|Corcovado|0101000020E61000005A93C8138CE454C080B82B4251162140
